[2023-03-28 12:54:32,247] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,288] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,328] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,368] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,409] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,448] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,489] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,530] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,570] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,610] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
