[2023-04-28T19:06:49.336+0100][gc,phases    ] GC(4)   Evacuate Collection Set: 8.3ms
[2023-04-28T19:06:49.336+0100][gc,phases    ] GC(4)   Post Evacuate Collection Set: 1.4ms
[2023-04-28T19:06:49.336+0100][gc,phases    ] GC(4)   Other: 1.6ms
[2023-04-28T19:06:49.336+0100][gc,heap      ] GC(4) Eden regions: 24->0(24)
[2023-04-28T19:06:49.336+0100][gc,heap      ] GC(4) Survivor regions: 1->1(4)
[2023-04-28T19:06:49.336+0100][gc,heap      ] GC(4) Old regions: 8->8
[2023-04-28T19:06:49.336+0100][gc,heap      ] GC(4) Humongous regions: 0->0
[2023-04-28T19:06:49.336+0100][gc,metaspace ] GC(4) Metaspace: 16559K(17152K)->16559K(17152K) NonClass: 14919K(15360K)->14919K(15360K) Class: 1639K(1792K)->1639K(1792K)
[2023-04-28T19:06:49.336+0100][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 31M->7M(512M) 12.287ms
[2023-04-28T19:06:49.336+0100][gc,cpu       ] GC(4) User=0.02s Sys=0.02s Real=0.01s
[2023-05-04T14:02:26.055+0100][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2023-05-04T14:02:26.057+0100][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[2023-05-04T14:02:26.089+0100][gc,mmu       ] GC(5) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2023-05-04T14:02:26.089+0100][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 2.3ms
[2023-05-04T14:02:26.089+0100][gc,phases    ] GC(5)   Evacuate Collection Set: 25.5ms
[2023-05-04T14:02:26.089+0100][gc,phases    ] GC(5)   Post Evacuate Collection Set: 1.3ms
[2023-05-04T14:02:26.090+0100][gc,phases    ] GC(5)   Other: 7.0ms
[2023-05-04T14:02:26.090+0100][gc,heap      ] GC(5) Eden regions: 24->0(24)
[2023-05-04T14:02:26.090+0100][gc,heap      ] GC(5) Survivor regions: 1->1(4)
[2023-05-04T14:02:26.090+0100][gc,heap      ] GC(5) Old regions: 8->8
[2023-05-04T14:02:26.090+0100][gc,heap      ] GC(5) Humongous regions: 0->0
[2023-05-04T14:02:26.090+0100][gc,metaspace ] GC(5) Metaspace: 16669K(17152K)->16669K(17152K) NonClass: 15023K(15360K)->15023K(15360K) Class: 1645K(1792K)->1645K(1792K)
[2023-05-04T14:02:26.090+0100][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 31M->7M(512M) 34.552ms
[2023-05-04T14:02:26.090+0100][gc,cpu       ] GC(5) User=0.02s Sys=0.03s Real=0.04s
